College Name,Course Offered,Fees,Exams Accepted,Highest Package,Review Rating,City,State,ID
"National Institute of Electronics and Information Technology (NIELIT) Aurangabad, Aurangabad, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,5.0,Aurangabad,Maharashtra,1
"Alard Group of Institutes, Pune, Maharashtra",Bachelor of Engineering,"4,85,272",MHT CET,,5.0,Pune,Maharashtra,2
"Maulana Mukhtar Ahmed Nadvi Technical Campus, Malegaon, Maharashtra",Bachelor of Engineering,,,,5.0,Malegaon,Maharashtra,3
"Padmashri Dr Vithal Rao Vikhe Patil College of Engineering, Ahmednagar, Maharashtra",Bachelor of Engineering,"2,96,000",MHT CET,,5.0,Ahmednagar,Maharashtra,4
"JSPM&rsquo;s Imperial College of Engineering and Research (ICOER), Pune, Maharashtra",Bachelor of Engineering,"4,22,000",MHT CET,5 LPA,5.0,Pune,Maharashtra,5
"Symbiosis Institute of Technology [SIT], Pune, Maharashtra",Bachelor of Technology (B.Tech),"10,60,000",JEE Main,36.5 LPA,5.0,Pune,Maharashtra,6
"ISB&M School of Technology, Pune, Maharashtra",Bachelor of Engineering,"4,60,800",JEE Main,,5.0,Pune,Maharashtra,7
"Sharad Institute of Technology College of Engineering, Kolhapur, Maharashtra",Bachelor of Engineering,"3,05,020",,,5.0,Kolhapur,Maharashtra,8
"Theem College of Engineering, Thane, Maharashtra",Bachelor of Engineering,"2,21,340",JEE Main,,5.0,Thane,Maharashtra,9
"PVG&rsquo;s College of Engineering & Technology, Pune, Maharashtra",Bachelor of Engineering,"2,72,388",MHT CET,,5.0,Pune,Maharashtra,10
"Vidya Pratishthan&rsquo;s College of Engineering (VPCE), Baramati, Maharashtra",Bachelor of Engineering,"2,02,920",JEE Main,,5.0,Baramati,Maharashtra,11
"Maharashtra Academy of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,5.0,Pune,Maharashtra,12
"SNJB&rsquo;s College of Engineering, Nashik, Maharashtra",Bachelor of Engineering,"2,40,000",,,5.0,Nashik,Maharashtra,13
"Shri Gulabrao Deokar College of Engineering, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),"1,80,000",MHT CET,,5.0,Jalgaon,Maharashtra,14
"SWVSM&rsquo;s Tatyasaheb Kore Institute of Engineering & Technology, Kolhapur, Maharashtra",Bachelor of Technology (B.Tech),,PET Madhya Pradesh,,5.0,Kolhapur,Maharashtra,15
"Mahatma Phule Krishi Vidyapeeth, Ahmednagar, Maharashtra",B.Tech Agricultural Engineering,,,,5.0,Ahmednagar,Maharashtra,16
"MET&rsquo;s MET Institute of Engineering, Nashik, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,5.0,Nashik,Maharashtra,17
"Dhananjay Mahadik Group of Institutions, Kolhapur, Maharashtra",Bachelor of Engineering (Lateral Entry),,,,5.0,Kolhapur,Maharashtra,18
"Sahyadri Valley College, Pune, Maharashtra",Bachelor of Engineering,,JEE Main,,5.0,Pune,Maharashtra,19
"Padmabhooshan Vasantdada Patil Institute of Technology, Sangli, Maharashtra",Bachelor of Engineering,"92,983",JEE Main,,5.0,Sangli,Maharashtra,20
"GH Raisoni Societys College of Engineering and Management, Pune, Maharashtra",Bachelor of Engineering,,,,4.8,Pune,Maharashtra,21
"D Y Patil International University, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,4.7,Pune,Maharashtra,22
"Annasaheb Dange College of Engineering & Technology, Sangli, Maharashtra",Bachelor of Engineering,"3,07,000",,,4.6,Sangli,Maharashtra,23
"PES College of Engineering, Aurangabad, Maharashtra",Bachelor of Engineering,"83,201",JEE Main,,4.6,Aurangabad,Maharashtra,24
"Indian Institute of Technology Bombay, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"9,12,000",JEE  Advanced,182 LPA,4.6,Mumbai,Maharashtra,25
"IBSS college of Engineering, Amravati, Maharashtra",Bachelor of Engineering,,MHT CET,,4.5,Amravati,Maharashtra,26
"MIT Academy of Engineering, Pune, Maharashtra",Bachelor of Engineering,"6,62,948",MHT CET,10 LPA,4.5,Pune,Maharashtra,27
"GH Raisoni Institute of Engineering and Technology, Pune, Maharashtra",Bachelor of Engineering,,JEE Main,,4.5,Pune,Maharashtra,28
"VIVA Institute of Technology, Palghar, Maharashtra",B. Tech - Computer Science Engineering,,,,4.5,Palghar,Maharashtra,29
"Marathwada Institute of Technology, Aurangabad, Maharashtra",Bachelor of Technology (B.Tech),"2,20,000",JEE Main,,4.5,Aurangabad,Maharashtra,30
"Veermata Jijabai Technological Institute (VJTI), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"3,03,804",MHT CET,62 LPA,4.5,Mumbai,Maharashtra,31
"Dwarakadas J Sanghvi College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"4,60,656",MHT CET,38 LPA,4.5,Mumbai,Maharashtra,32
"Laxminarayan Institute of Technology (LIT), Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,17.9 LPA,4.5,Nagpur,Maharashtra,33
"Walchand College of Engineering, Sangli, Maharashtra",Bachelor of Technology (B.Tech),"1,48,000",MHT CET,37.03 LPA,4.5,Sangli,Maharashtra,34
"Konkan Gyanpeeth&rsquo;s College of Engineering, Raigad, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.5,Raigad,Maharashtra,35
"RC Patel Institute of Pharmaceutical Education & Research, Dhule, Maharashtra",Bachelor of Technology (B.Tech),"30,000",,,4.5,Dhule,Maharashtra,36
"Government College of Engineering, Aurangabad, Maharashtra",Bachelor of Engineering,"2,35,027",JEE Main,8 LPA,4.5,Aurangabad,Maharashtra,37
"Trinity College of Engineering & Research, Pune, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.5,Pune,Maharashtra,38
"Sandip Institute of Engineering and Management (SIEM), Nashik, Maharashtra",Bachelor of Technology (B.Tech),"3,31,894",MHT CET,,4.5,Nashik,Maharashtra,39
"Vivekanand Education Society&rsquo;s Institute of Technology, Mumbai, Maharashtra",Bachelor of Engineering,"3,40,000",,,4.5,Mumbai,Maharashtra,40
"Padmashree Dr DY Patil Institute of Engineering and Technology, Pune, Maharashtra",Bachelor of Engineering,,,,4.4,Pune,Maharashtra,41
"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"10,40,000",JEE Main,67.80 LPA,4.4,Mumbai,Maharashtra,42
